"Date","LIVE duration","LIVE videos"
"Jul 11, 2023","0","0"
"Jul 12, 2023","364","1"
"Jul 13, 2023","1090","1"
"Jul 14, 2023","5770","1"
"Jul 15, 2023","0","0"
"Jul 16, 2023","0","0"
"Jul 17, 2023","0","0"
"Jul 18, 2023","0","0"
"Jul 19, 2023","0","0"
"Jul 20, 2023","0","0"
"Jul 21, 2023","0","0"
"Jul 22, 2023","0","0"
"Jul 23, 2023","0","0"
"Jul 24, 2023","0","0"
"Jul 25, 2023","0","0"
"Jul 26, 2023","0","0"
"Jul 27, 2023","999","1"
"Jul 28, 2023","5406","2"
"Jul 29, 2023","0","0"
"Jul 30, 2023","0","0"
"Jul 31, 2023","0","0"
"Aug 1, 2023","0","0"
"Aug 2, 2023","0","0"
"Aug 3, 2023","0","0"
"Aug 4, 2023","0","0"
"Aug 5, 2023","0","0"
"Aug 6, 2023","0","0"
"Aug 7, 2023","0","0"
"Aug 8, 2023","0","0"
"Aug 9, 2023","0","0"
"Aug 10, 2023","519","1"
"Aug 11, 2023","6456","2"
"Aug 12, 2023","0","0"
"Aug 13, 2023","0","0"
"Aug 14, 2023","0","0"
"Aug 15, 2023","0","0"
"Aug 16, 2023","0","0"
"Aug 17, 2023","0","0"
"Aug 18, 2023","0","0"
"Aug 19, 2023","0","0"
"Aug 20, 2023","0","0"
"Aug 21, 2023","0","0"
"Aug 22, 2023","0","0"
"Aug 23, 2023","0","0"
"Aug 24, 2023","28","2"
"Aug 25, 2023","6683","1"
"Aug 26, 2023","0","0"
"Aug 27, 2023","0","0"
"Aug 28, 2023","0","0"
"Aug 29, 2023","0","0"
"Aug 30, 2023","0","0"
"Aug 31, 2023","0","0"
"Sep 1, 2023","0","0"
"Sep 2, 2023","0","0"
"Sep 3, 2023","0","0"
"Sep 4, 2023","0","0"
"Sep 5, 2023","0","0"
"Sep 6, 2023","0","0"
"Sep 7, 2023","1014","1"
"Sep 8, 2023","4949","1"
