"Date"," New followers","Viewers who commented","Likes","Shares"
"Jul 11, 2023","0","0","0","0"
"Jul 12, 2023","0","0","56","0"
"Jul 13, 2023","180","420","15220","72"
"Jul 14, 2023","3250","4569","352800","1522"
"Jul 15, 2023","0","0","0","0"
"Jul 16, 2023","0","0","0","0"
"Jul 17, 2023","0","0","0","0"
"Jul 18, 2023","0","0","0","0"
"Jul 19, 2023","0","0","0","0"
"Jul 20, 2023","0","0","0","0"
"Jul 21, 2023","0","0","0","0"
"Jul 22, 2023","0","0","0","0"
"Jul 23, 2023","0","0","0","0"
"Jul 24, 2023","0","0","0","0"
"Jul 25, 2023","0","0","0","0"
"Jul 26, 2023","0","0","0","0"
"Jul 27, 2023","25","98","3365","40"
"Jul 28, 2023","1736","2952","195530","1988"
"Jul 29, 2023","0","0","0","0"
"Jul 30, 2023","0","0","0","0"
"Jul 31, 2023","0","0","0","0"
"Aug 1, 2023","0","0","0","0"
"Aug 2, 2023","0","0","0","0"
"Aug 3, 2023","0","0","0","0"
"Aug 4, 2023","0","0","0","0"
"Aug 5, 2023","0","0","0","0"
"Aug 6, 2023","0","0","0","0"
"Aug 7, 2023","0","0","0","0"
"Aug 8, 2023","0","0","0","0"
"Aug 9, 2023","0","0","0","0"
"Aug 10, 2023","52","138","5182","30"
"Aug 11, 2023","2379","2533","297017","982"
"Aug 12, 2023","0","0","0","0"
"Aug 13, 2023","0","0","0","0"
"Aug 14, 2023","0","0","0","0"
"Aug 15, 2023","0","0","0","0"
"Aug 16, 2023","0","0","0","0"
"Aug 17, 2023","0","0","0","0"
"Aug 18, 2023","0","0","0","0"
"Aug 19, 2023","0","0","0","0"
"Aug 20, 2023","0","0","0","0"
"Aug 21, 2023","0","0","0","0"
"Aug 22, 2023","0","0","0","0"
"Aug 23, 2023","0","0","0","0"
"Aug 24, 2023","0","0","0","0"
"Aug 25, 2023","3837","4649","370423","2224"
"Aug 26, 2023","0","0","0","0"
"Aug 27, 2023","0","0","0","0"
"Aug 28, 2023","0","0","0","0"
"Aug 29, 2023","0","0","0","0"
"Aug 30, 2023","0","0","0","0"
"Aug 31, 2023","0","0","0","0"
"Sep 1, 2023","0","0","0","0"
"Sep 2, 2023","0","0","0","0"
"Sep 3, 2023","0","0","0","0"
"Sep 4, 2023","0","0","0","0"
"Sep 5, 2023","0","0","0","0"
"Sep 6, 2023","0","0","0","0"
"Sep 7, 2023","182","308","21844","60"
"Sep 8, 2023","1989","2094","242289","869"
